trait1	trait2	n_species_overlap	phi	p_value
sulfite respiration	iron respiration	3569	0.265060157553494	0
chitinolysis	alginate degradation	257	0.264665676036667	0
acetoclastic methanogenesis	methanogenesis by CO2 reduction with H2	13320	0.264024474099281	0
nitrite ammonification	sulfur reduction	1235	0.263258012567461	0
plastic degradation	sulfur reduction	69	0.263021319399521	0.046
lactic acid fermentation	pectin degradation	266	0.262753256387374	0
gelatin degradation	alginate degradation	357	0.260725795893324	0
nitrogen fixation	anaerobic chemoheterotrophy	225	0.259447820535636	0.001
aerobic chemoheterotrophy	hydrocarbon degradation	399	0.257895750679793	0
phototrophy	lactate oxidation	499	0.257351876392295	0
nitrate reduction	facultative anaerobes	4695	0.256589250697892	0
nitrate reduction	plastic degradation	163	0.254874216430177	0.001
arsenate respiration	sulfur reduction	1311	0.254279085876636	0
hydrogenotrophic methanogenesis	obligate anaerobes	11719	0.25178848383572	0
dark hydrogen oxidation	ureolysis	165	0.25127784804779	0.004
oxygenic photoautotrophy	photoheterotrophy	1864	0.250926808409404	0
fermentation	nitrogen respiration	3778	0.250649577426265	0
thiosulfate respiration	manganese respiration	3416	0.250413939195363	0
sulfate respiration	lactate oxidation	1065	0.250381972736697	0
xylanolysis	alcohol fermentation	387	0.249387018972228	0
fermentation	aromatic hydrocarbon degradation	260	0.248846961497783	0
thiosulfate respiration	nitrate respiration	4918	0.247793368787768	0
methylotrophy	anaerobic chemoheterotrophy	298	0.24775065679728	0
knallgas bacteria	nitrate respiration	741	0.245991151608761	0
dark oxidation of sulfur compounds	acetate oxidation	211	0.244879133360516	0
methanogenesis by disproportionation of methyl groups	methanol oxidation	714	0.244353357553937	0
dissimilatory arsenate reduction	nitrate respiration	47	0.242895182923339	0.131
nitrate respiration	sulfur reduction	2752	0.242234009955294	0
respiration of sulfur compounds	fermentation	4837	0.242083669620031	0
dark thiosulfate oxidation	sulfur reduction	137	0.241983352118042	0.008
dark iron oxidation	chemoheterotrophy	175	0.241789509528534	0.003
sulfite respiration	lactate oxidation	1168	0.241526198528244	0
dissimilatory arsenate reduction	nitrogen respiration	31	0.239394948819869	0.308
methylotrophy	dark hydrogen oxidation	98	0.238553302002141	0.033
anoxygenic photoautotrophy S oxidizing	obligate anaerobes	1668	0.236711826153586	0
nitrogen fixation	facultative anaerobes	204	0.233866934129411	0.002
anoxygenic photoautotrophy	obligate anaerobes	1682	0.231134947928481	0
nitrogen fixation	aromatic compound degradation	83	0.230326218509506	0.046
aliphatic non methane hydrocarbon degradation	facultative anaerobes	128	0.229624921234047	0.019
nitrogen fixation	aromatic hydrocarbon degradation	77	0.229484002205318	0.077
knallgas bacteria	nitrate reduction	623	0.229444369594987	0
methylotrophy	fermentation	318	0.229071725472415	0
nitrite denitrification	anaerobic chemoheterotrophy	3491	0.228662521078868	0
aromatic hydrocarbon degradation	anaerobic chemoheterotrophy	205	0.228273699383534	0
thiosulfate respiration	fermentation	4948	0.227637973164421	0
aromatic hydrocarbon degradation	nitrate respiration	281	0.227435799503531	0
nitrate denitrification	dark sulfide oxidation	117	0.225350125525501	0.01
dark hydrogen oxidation	aromatic compound degradation	46	0.224925051161624	0.172
chitinolysis	anaerobic chemoheterotrophy	841	0.222836757265763	0
aliphatic non methane hydrocarbon degradation	anaerobic chemoheterotrophy	130	0.222087215048937	0.012
dark sulfide oxidation	nitrate respiration	126	0.221622391780432	0.01
nitrogen fixation	hydrocarbon degradation	85	0.219687387581873	0.037
nitrous oxide denitrification	nitrate reduction	2788	0.219625238241421	0
chitinolysis	facultative anaerobes	887	0.218323870427472	0
nitrogen fixation	dark oxidation of sulfur compounds	70	0.217110957468094	0.11
arsenate respiration	obligate anaerobes	3433	0.216039593862047	0
anaerobic chemoheterotrophy	sulfur reduction	2180	0.214947222449782	0
aliphatic non methane hydrocarbon degradation	chemoheterotrophy	205	0.21489661597046	0.006
nitrite ammonification	fermentation	3122	0.213522838185965	0
methylotrophy	reductive acetogenesis	31	0.213327583796981	0.541
nitrate denitrification	facultative anaerobes	4620	0.212511899943996	0
nitrogen fixation	acetate oxidation	179	0.212473190888735	0.005
iron oxidation	anaerobic chemoheterotrophy	50	0.212459146399699	0.155
methanogenesis using formate	obligate anaerobes	11732	0.21239772854088	0
collagen degradation	facultative anaerobes	101	0.211971093104758	0.044
thiosulfate respiration	nitrite respiration	3821	0.211468096640576	0
knallgas bacteria	nitrogen respiration	260	0.211415295796108	0.002
fermentation	pectin degradation	417	0.211169201723017	0
sulfite respiration	nitrogen respiration	3680	0.208346167348033	0
dark hydrogen oxidation	nitrogen fixation	90	0.206835075998008	0.081
acetate oxidation	alginate degradation	146	0.20452898939829	0.011
aromatic compound degradation	pectin degradation	144	0.204313428817821	0.023
thiosulfate respiration	lactate oxidation	1259	0.203738900365911	0
gelatin degradation	hydrocarbon degradation	294	0.203576199717541	0
aerobic chemoheterotrophy	acetate oxidation	2282	0.203384090640306	0
nitrite respiration	aromatic hydrocarbon degradation	213	0.202363303211029	0.009
cellulolysis	aromatic compound degradation	346	0.202072120317978	0
gelatin degradation	aromatic compound degradation	812	0.202021310633545	0
pectin degradation	obligate anaerobes	549	0.201394901528805	0
nitrogen fixation	lactic acid fermentation	208	0.200602326001693	0.005
fumarate respiration	lactate oxidation	874	0.198518183885713	0
dark oxidation of sulfur compounds	anaerobic chemoheterotrophy	258	0.19849530062194	0
aerobic chemoheterotrophy	aliphatic non methane hydrocarbon degradation	203	0.198481146560079	0.006
chemoheterotrophy	anaerobic chemoheterotrophy	5734	0.197755376562966	0
aliphatic non methane hydrocarbon degradation	nitrogen respiration	145	0.197693417539637	0.035
methylotrophy	ureolysis	152	0.197603184577616	0.014
methanotrophy	nitrogen fixation	70	0.196418550329597	0.163
aerobic chemoheterotrophy	oil bioremediation	127	0.195315319685098	0.164
photoautotrophy	acetate oxidation	598	0.19525332498675	0
respiration of sulfur compounds	lactate oxidation	1178	0.194876373054912	0
photoautotrophy	aerobic anoxygenic phototrophy	1760	0.193563965780666	0
nitrite respiration	sulfur reduction	1624	0.193326317355831	0
fumarate respiration	facultative anaerobes	3592	0.193318713936194	0
anoxygenic photoautotrophy	acetate oxidation	585	0.193197521175986	0
cellulolysis	reductive acetogenesis	92	0.192110171731714	0.112
nitrate reduction	acetate oxidation	1781	0.191789221904434	0
lactate oxidation	chemoheterotrophy	2017	0.189873613128043	0
alcohol fermentation	sulfur reduction	1444	0.188755793501492	0
fermentation	iron respiration	3542	0.188700629968677	0
nitrogen respiration	obligate anaerobes	4067	0.188037298788166	0
dark sulfur oxidation	nitrate reduction	301	0.187168872450268	0
anoxygenic photoautotrophy	ureolysis	807	0.186626471111349	0
chitinolysis	fermentation	1087	0.184874239831487	0
aromatic hydrocarbon degradation	facultative anaerobes	208	0.184808434685165	0.014
nitrite respiration	aliphatic non methane hydrocarbon degradation	145	0.184292033974859	0.046
thiosulfate respiration	alcohol fermentation	3364	0.183665114289108	0
fermentation	aromatic compound degradation	691	0.183261570037728	0
methanotrophy	nitrite denitrification	103	0.18286746596149	0.092
methanogenesis by disproportionation of methyl groups	methylotrophy	446	0.182256184994968	0
nitrate ammonification	nitrate reduction	2568	0.182004284577446	0
chitinolysis	lactate oxidation	289	0.181932435907674	0.004
anoxygenic photoautotrophy S oxidizing	acetate oxidation	579	0.181450996494928	0
nitrogen fixation	alcohol fermentation	208	0.181040939779384	0.011
nitrous oxide denitrification	phototrophy	710	0.180984746617048	0
sulfur respiration	fermentation	3768	0.180445361588375	0
nitrate denitrification	dark hydrogen oxidation	383	0.180275019507962	0.001
nitrite ammonification	nitrate reduction	2512	0.179180233824915	0
nitrogen fixation	ureolysis	241	0.178860256472922	0.01
nitrogen fixation	sulfur reduction	79	0.177533200764252	0.162
sulfite respiration	fermentation	4768	0.17627540263267	0
fermentation	oil bioremediation	100	0.175863114528165	0.235
photoautotrophy	ureolysis	804	0.175569726707162	0
nitrate denitrification	plastic degradation	125	0.17535296718791	0.075
nitrate denitrification	dark oxidation of sulfur compounds	188	0.175311685909772	0.022
photoautotrophy	obligate anaerobes	1703	0.174985810745221	0
nitrate ammonification	fermentation	3140	0.174808063127394	0
nitrate reduction	anaerobic chemoheterotrophy	4190	0.174000934215919	0
sulfate respiration	iron respiration	2522	0.173679144238894	0
lactate oxidation	pectin degradation	165	0.172757778582188	0.033
dark hydrogen oxidation	lactate oxidation	308	0.172150727938852	0.003
dark sulfide oxidation	aerobic chemoheterotrophy	201	0.171115891808986	0.023
nitrite denitrification	plastic degradation	89	0.171052631578947	0.221
xylanolysis	facultative anaerobes	500	0.169500195148755	0
alcohol fermentation	pectin degradation	269	0.169318701116493	0.009
alcohol fermentation	facultative anaerobes	3410	0.168714231051575	0
anoxygenic photoautotrophy S oxidizing	ureolysis	802	0.167692986105351	0
methanogenesis	sulfur reduction	4007	0.167396745643793	0
nitrogen fixation	anoxygenic photoautotrophy H2 oxidizing	224	0.167221305018413	0.013
aromatic compound degradation	chemoheterotrophy	1070	0.167108128218456	0
anoxygenic photoautotrophy H2 oxidizing	acetate oxidation	560	0.166115932988434	0
dark sulfide oxidation	nitrogen respiration	94	0.165692862919759	0.144
ligninolysis	chemoheterotrophy	68	0.164121987972444	0.483
phototrophy	obligate anaerobes	1686	0.163582389190683	0
methanogenesis by disproportionation of methyl groups	obligate anaerobes	11708	0.163508228241415	0
aromatic compound degradation	anaerobic chemoheterotrophy	550	0.163376507643601	0
aliphatic non methane hydrocarbon degradation	nitrate respiration	165	0.162561294583441	0.045
sulfur respiration	alcohol fermentation	2291	0.162462907072454	0
methanol oxidation	dark oxidation of sulfur compounds	149	0.162147688724176	0.069
aromatic hydrocarbon degradation	ureolysis	254	0.162126412296917	0.014
nitrogen fixation	anoxygenic photoautotrophy	229	0.161247091008782	0.014
methanogenesis by CO2 reduction with H2	sulfur reduction	4007	0.16103713708779	0
chitinolysis	nitrate reduction	1177	0.160650849020731	0
sulfate respiration	fermentation	3757	0.156423556419013	0
lactate oxidation	anaerobic chemoheterotrophy	1250	0.155361739888129	0
knallgas bacteria	dark hydrogen oxidation	367	0.155246960618405	0.004
aerobic chemoheterotrophy	aerobic anoxygenic phototrophy	2644	0.152960353975222	0
hydrogenotrophic methanogenesis	sulfur reduction	4002	0.151590199765599	0
gelatin degradation	pectin degradation	418	0.150879101154604	0.002
cellulolysis	lactic acid fermentation	956	0.150665834071092	0
iron respiration	facultative anaerobes	3479	0.150214844886394	0
anoxygenic photoautotrophy	lactate oxidation	468	0.150031894535763	0
methanogenesis using formate	dark hydrogen oxidation	811	0.149050281928427	0
dissimilatory arsenate reduction	sulfur reduction	46	0.148288821132025	0.367
sulfate respiration	nitrogen respiration	2574	0.146691041622297	0
nitrogen fixation	anoxygenic photoautotrophy S oxidizing	228	0.146221391831491	0.04
dark hydrogen oxidation	chemoheterotrophy	750	0.145538426066729	0
nitrogen fixation	obligate anaerobes	454	0.145430184228198	0.002
nitrite respiration	dark oxidation of sulfur compounds	160	0.145271533889987	0.087
ureolysis	acetate oxidation	1288	0.144779138306832	0
aromatic compound degradation	photoheterotrophy	182	0.144312515215764	0.07
sulfite respiration	nitrite respiration	3788	0.144069957016594	0
nitrite denitrification	aromatic hydrocarbon degradation	207	0.143942702547374	0.055
plastic degradation	anaerobic chemoheterotrophy	89	0.143816766124165	0.24
phototrophy	ureolysis	784	0.143047146765468	0
ureolysis	lactate oxidation	876	0.142477552554667	0
nitrite respiration	fermentation	3838	0.142107338066913	0
dark sulfide oxidation	chemoheterotrophy	256	0.141940157872264	0.024
anoxygenic photoautotrophy H2 oxidizing	obligate anaerobes	1646	0.141169095622582	0
dark thiosulfate oxidation	anoxygenic photoautotrophy S oxidizing	455	0.141019109767074	0.002
dark hydrogen oxidation	fermentation	593	0.140727712192316	0
photoautotrophy	lactate oxidation	482	0.140098759716856	0.004
dark sulfite oxidation	nitrate reduction	210	0.139781291972253	0.073
nitrogen respiration	lactate oxidation	888	0.139555059243134	0
dark thiosulfate oxidation	nitrate reduction	346	0.139497273785886	0.019
aromatic hydrocarbon degradation	chemoheterotrophy	378	0.138872792556079	0.009
nitrate reduction	lactate oxidation	1360	0.137290531434685	0
chitinolysis	acetate oxidation	361	0.136556272283318	0.007
aerobic chemoheterotrophy	nitrate reduction	6144	0.13629213883522	0
lactate oxidation	sulfur reduction	798	0.134960174194483	0
aerobic anoxygenic phototrophy	ureolysis	1010	0.134858235228843	0
acetate oxidation	chemoheterotrophy	2583	0.134278354017079	0
respiration of sulfur compounds	nitrogen fixation	225	0.13414720819127	0.054
nitrogen fixation	phototrophy	256	0.133430898826622	0.044
nitrogen fixation	photoautotrophy	249	0.132984790358009	0.061
nitrification	nitrate reduction	819	0.132389012699931	0.001
nitrogen fixation	photoheterotrophy	227	0.131579150049561	0.067
fermentation	chemoheterotrophy	7437	0.130684943126074	0
nitrate denitrification	aromatic hydrocarbon degradation	274	0.130387283790406	0.039
thiosulfate respiration	lactic acid fermentation	3399	0.130123424749095	0
arsenate respiration	fermentation	3325	0.129664339337257	0
sulfite respiration	nitrate respiration	4801	0.12956616725576	0
nitrite respiration	dark sulfide oxidation	90	0.128353490404079	0.226
xylanolysis	lactate oxidation	226	0.126959261497035	0.085
nitrate respiration	lactate oxidation	1395	0.126855411804385	0
ligninolysis	aerobic chemoheterotrophy	40	0.124012158190298	0.571
aromatic compound degradation	phototrophy	184	0.123805879764364	0.114
cellulolysis	anaerobic chemoheterotrophy	1024	0.122991752041232	0
nitrate reduction	ureolysis	5815	0.121782069111819	0
nitrate reduction	collagen degradation	70	0.121716123890037	0.449
aerobic anoxygenic phototrophy	acetate oxidation	959	0.120219509931411	0
nitrate denitrification	anaerobic chemoheterotrophy	4191	0.119640657805385	0
anoxygenic photoautotrophy S oxidizing	lactate oxidation	466	0.118731381220327	0.017
chitinolysis	gelatin degradation	1237	0.118384401943129	0
dark sulfide oxidation	acetate oxidation	153	0.118238253822404	0.158
fermentation	sulfur reduction	2885	0.117325462313803	0
arsenate respiration	nitrate reduction	2607	0.117112608300346	0
respiration of sulfur compounds	lactic acid fermentation	3362	0.116587174141237	0
gelatin degradation	xylanolysis	636	0.116109276101558	0.003
iron respiration	nitrate reduction	2765	0.115562153619096	0
